name,id_spotify,id_genius,url_genius,genres
Lorenzo,62zLrboqOTPyozwi721CVy,63888,https://genius.com/artists/Freeze-corleone,
Hornet La Frappe,1kwzW1IszUiq4Gs9BFesvW,221964,https://genius.com/artists/Hornet-la-frappe,pop urbaine
Rohff,32UhRcgdXO6LdLhOpfIdxp,1908,https://genius.com/artists/Rohff,
TK,5vnUF9uAL0ly7qw25ERLuC,1507735,https://genius.com/artists/Genius-romanizations,pop urbaine
Moha La Squale,4vtz0m60CCrcsQmqDunDIR,1215518,https://genius.com/artists/Moha-la-squale,
So La Lune,4ZW7BptOWzjNFLEqRiNCT7,1908116,https://genius.com/artists/So-la-lune,new wave
Kaza,4MRRW42s9ymwa5zu4xTKJh,1077834,https://genius.com/artists/Dzharakhov,pop urbaine
4Keus,2LUi4eKMEFKFM4awgurcSs,653543,https://genius.com/artists/4keus-gang,pop urbaine
IAM,56Q6weEROZ1RsVrTak8Bm7,45,https://genius.com/artists/Eminem,
Elams,2IoSLl3tqYMq9DzR0d6NJN,168832,https://genius.com/artists/Elams,pop urbaine
Médine,1afjj7vSBkpIjkiJdSV6bV,569121,https://genius.com/artists/Genius-turkce-ceviriler,
Mig,3mKyKC4BjNrNJSSBSrNy0a,44080,https://genius.com/artists/Migos,drill
Sasso,35B6bq5keTR1PYEahq1TAF,652529,https://genius.com/artists/Ernia,pop urbaine
Dosseh,3b5bg1k6N9u31OtzSfK2dP,2223,https://genius.com/artists/Dosseh,pop urbaine
Le Rat Luciano,5QuZ9HdvnXcX8kEG782Phv,1964,https://genius.com/artists/Le-rat-luciano,
Black M,7lMgpN1tEBQKpRoUMKB8iw,16690,https://genius.com/artists/Denzel-curry,"french pop,chanson,pop urbaine"
L'Algérino,7kyIBL1EYouLqC8vw7IOui,12302,https://genius.com/artists/Lalgerino,"raï,pop urbaine"
S.Pri Noir,5olcgTzelGdyP1rHRLyWgs,15330,https://genius.com/artists/Spri-noir,pop urbaine
ISK,1HH5TlkjRt2FG8dpkWNm5j,1507735,https://genius.com/artists/Genius-romanizations,
Suprême NTM,4ko6Ysxtvx9EY9GEFslrIz,24568,https://genius.com/artists/Supreme-ntm,
Nemir,5f6nz3iqzrfiUfKOIKvLvd,79371,https://genius.com/artists/Rasta,
