_id,artists_genius_id[0],artists_genius_id[1],artists_genius_id[2],artists_genius_id[3],artists_genius_id[4],artists_genius_id[5],artists_genius_id[6],artists_genius_id[7],artists_genius_id[8],artists_genius_id[9],artists_genius_id[10],artists_genius_id[11],artists_genius_id[12],artists_genius_id[13],artists_genius_id[14],artists_genius_id[15],artists_genius_id[16],artists_genius_id[17],artists_genius_id[18],artists_genius_id[19],artists_genius_id[20],artists_genius_id[21],artists_genius_id[22],artists_id[0],artists_id[1],artists_id[2],artists_id[3],artists_id[4],artists_id[5],artists_id[6],artists_id[7],artists_id[8],artists_id[9],artists_id[10],artists_id[11],artists_id[12],artists_id[13],artists_id[14],artists_id[15],artists_id[16],artists_id[17],artists_id[18],artists_id[19],artists_id[20],artists_id[21],artists_id[22],artists_names[0],artists_names[1],artists_names[2],artists_names[3],artists_names[4],artists_names[5],artists_names[6],artists_names[7],artists_names[8],artists_names[9],artists_names[10],artists_names[11],artists_names[12],artists_names[13],artists_names[14],artists_names[15],artists_names[16],artists_names[17],artists_names[18],artists_names[19],artists_names[20],artists_names[21],artists_names[22],title
59204,14806,,,,,,,,,,,,,,,,,,,,,,,6830d495a91d5a7989f1ed66,,,,,,,,,,,,,,,,,,,,,,,Dinos,,,,,,,,,,,,,,,,,,,,,,,Paf !
59045,14646,14806,,,,,,,,,,,,,,,,,,,,,,6830d495a91d5a7989f1ee4e,6830d495a91d5a7989f1ed66,,,,,,,,,,,,,,,,,,,,,,Beeby,Dinos,,,,,,,,,,,,,,,,,,,,,,FuckFace Nounours
6478228,1207099,14806,,,,,,,,,,,,,,,,,,,,,,6830d495a91d5a7989f1edfd,6830d495a91d5a7989f1ed66,,,,,,,,,,,,,,,,,,,,,,Zikxo,Dinos,,,,,,,,,,,,,,,,,,,,,,Double file
7992369,147487,14806,,,,,,,,,,,,,,,,,,,,,,6830d495a91d5a7989f1ed89,6830d495a91d5a7989f1ed66,,,,,,,,,,,,,,,,,,,,,,Soso Maness,Dinos,,,,,,,,,,,,,,,,,,,,,,À l’aube
61331,14806,,,,,,,,,,,,,,,,,,,,,,,6830d495a91d5a7989f1ed66,,,,,,,,,,,,,,,,,,,,,,,Dinos,,,,,,,,,,,,,,,,,,,,,,,I’m a Boss (Remix)
8366272,2223,14806,,,,,,,,,,,,,,,,,,,,,,6830d495a91d5a7989f1eda1,6830d495a91d5a7989f1ed66,,,,,,,,,,,,,,,,,,,,,,Dosseh,Dinos,,,,,,,,,,,,,,,,,,,,,,Demain j’arrête
7811452,1320878,14806,,,,,,,,,,,,,,,,,,,,,,6830d495a91d5a7989f1ede2,6830d495a91d5a7989f1ed66,,,,,,,,,,,,,,,,,,,,,,Roshi,Dinos,,,,,,,,,,,,,,,,,,,,,,Connaissance
11503461,246691,14806,,,,,,,,,,,,,,,,,,,,,,6830d495a91d5a7989f1eec4,6830d495a91d5a7989f1ed66,,,,,,,,,,,,,,,,,,,,,,Franglish,Dinos,,,,,,,,,,,,,,,,,,,,,,La Pluie
10201859,14806,,,,,,,,,,,,,,,,,,,,,,,6830d495a91d5a7989f1ed66,,,,,,,,,,,,,,,,,,,,,,,Dinos,,,,,,,,,,,,,,,,,,,,,,,Le Club
11522901,14806,2591697,,,,,,,,,,,,,,,,,,,,,,6830d495a91d5a7989f1ed66,6830d495a91d5a7989f1ef29,,,,,,,,,,,,,,,,,,,,,,Dinos,WeRenoi,,,,,,,,,,,,,,,,,,,,,,PERFORMANTE
11107821,14806,,,,,,,,,,,,,,,,,,,,,,,6830d495a91d5a7989f1ed66,,,,,,,,,,,,,,,,,,,,,,,Dinos,,,,,,,,,,,,,,,,,,,,,,,Ne me quitte pas
96634,11499,14806,12085,1946,,,,,,,,,,,,,,,,,,,,6830d495a91d5a7989f1edd6,6830d495a91d5a7989f1ed66,6830d495a91d5a7989f1ed7e,6830d495a91d5a7989f1ee0e,,,,,,,,,,,,,,,,,,,,Seth Gueko,Dinos,Sofiane,Lino,,,,,,,,,,,,,,,,,,,,Néo Comeback
4395686,14806,,,,,,,,,,,,,,,,,,,,,,,6830d495a91d5a7989f1ed66,,,,,,,,,,,,,,,,,,,,,,,Dinos,,,,,,,,,,,,,,,,,,,,,,,NDOMBOLO
2901133,14806,,,,,,,,,,,,,,,,,,,,,,,6830d495a91d5a7989f1ed66,,,,,,,,,,,,,,,,,,,,,,,Dinos,,,,,,,,,,,,,,,,,,,,,,,Défends-moi
7313313,14806,,,,,,,,,,,,,,,,,,,,,,,6830d495a91d5a7989f1ed66,,,,,,,,,,,,,,,,,,,,,,,Dinos,,,,,,,,,,,,,,,,,,,,,,,C’est la vie
4391137,2223,14806,,,,,,,,,,,,,,,,,,,,,,6830d495a91d5a7989f1eda1,6830d495a91d5a7989f1ed66,,,,,,,,,,,,,,,,,,,,,,Dosseh,Dinos,,,,,,,,,,,,,,,,,,,,,,PGP Remix
10463499,14806,,,,,,,,,,,,,,,,,,,,,,,6830d495a91d5a7989f1ed66,,,,,,,,,,,,,,,,,,,,,,,Dinos,,,,,,,,,,,,,,,,,,,,,,,50¢
98852,11499,14806,,,,,,,,,,,,,,,,,,,,,,6830d495a91d5a7989f1edd6,6830d495a91d5a7989f1ed66,,,,,,,,,,,,,,,,,,,,,,Seth Gueko,Dinos,,,,,,,,,,,,,,,,,,,,,,La nuit nous appartient
238463,15227,16138,14806,14415,,,,,,,,,,,,,,,,,,,,6830d495a91d5a7989f1ee5b,6830d495a91d5a7989f1ed7d,6830d495a91d5a7989f1ed66,6830d495a91d5a7989f1edbe,,,,,,,,,,,,,,,,,,,,GrÃ¶dash,Lomepal,Dinos,A2h,,,,,,,,,,,,,,,,,,,,CLM Cypher
9953302,14806,,,,,,,,,,,,,,,,,,,,,,,6830d495a91d5a7989f1ed66,,,,,,,,,,,,,,,,,,,,,,,Dinos,,,,,,,,,,,,,,,,,,,,,,,Santos
6005958,1946,14806,,,,,,,,,,,,,,,,,,,,,,6830d495a91d5a7989f1ee0e,6830d495a91d5a7989f1ed66,,,,,,,,,,,,,,,,,,,,,,Lino,Dinos,,,,,,,,,,,,,,,,,,,,,,Délinquante musique (Remix)
11254447,14806,,,,,,,,,,,,,,,,,,,,,,,6830d495a91d5a7989f1ed66,,,,,,,,,,,,,,,,,,,,,,,Dinos,,,,,,,,,,,,,,,,,,,,,,,Freestyle Raplume All Stars ll
9836547,14806,,,,,,,,,,,,,,,,,,,,,,,6830d495a91d5a7989f1ed66,,,,,,,,,,,,,,,,,,,,,,,Dinos,,,,,,,,,,,,,,,,,,,,,,,Belly
97637,15427,14806,,,,,,,,,,,,,,,,,,,,,,6830d495a91d5a7989f1eddf,6830d495a91d5a7989f1ed66,,,,,,,,,,,,,,,,,,,,,,Alkpote,Dinos,,,,,,,,,,,,,,,,,,,,,,Mr. le Président
